Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
56,"Thursday, Jun 3",boxscore,SFG,,CHC,W,7,2,,35-21,1,up 1.0,DeSclafani,Davies,,3:05,N,"10,737",1.31,+,
57,"Friday, Jun 4",boxscore,SFG,,CHC,W,8,5,,36-21,1,up 1.0,Menez,Arrieta,Rogers,3:14,N,"11,524",1.31,++,
58,"Saturday, Jun 5",boxscore,SFG,,CHC,W,4,3,,37-21,1,up 2.0,Gausman,Stewart,Rogers,3:04,D,"12,792",1.26,+++,
59,"Sunday, Jun 6",boxscore,SFG,,CHC,L,3,4,,37-22,1,up 2.0,Hendricks,Cueto,Kimbrel,3:01,D,"14,089",1.29,-,
60,"Tuesday, Jun 8",boxscore,SFG,@,TEX,W,9,4,,38-22,1,up 2.5,Alvarez,Rodriguez,,3:28,N,"24,938",1.21,+,
61,"Wednesday, Jun 9",boxscore,SFG,@,TEX,L-wo,3,4,11,38-23,1,up 2.0,Martin,McGee,,3:28,D,"25,803",1.17,-,
62,"Friday, Jun 11",preview,SFG,@,WSN,7:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
63,"Saturday, Jun 12",preview,SFG,@,WSN,2:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
64,"Saturday, Jun 12",preview,SFG,@,WSN,7:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
65,"Sunday, Jun 13",preview,SFG,@,WSN,1:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
66,"Monday, Jun 14",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
67,"Tuesday, Jun 15",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
68,"Wednesday, Jun 16",preview,SFG,,ARI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
69,"Thursday, Jun 17",preview,SFG,,ARI,3:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
70,"Friday, Jun 18",preview,SFG,,PHI,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
71,"Saturday, Jun 19",preview,SFG,,PHI,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
72,"Sunday, Jun 20",preview,SFG,,PHI,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
73,"Tuesday, Jun 22",preview,SFG,@,LAA,9:38 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
74,"Wednesday, Jun 23",preview,SFG,@,LAA,4:07 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
75,"Friday, Jun 25",preview,SFG,,OAK,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
76,"Saturday, Jun 26",preview,SFG,,OAK,10:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
77,"Sunday, Jun 27",preview,SFG,,OAK,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
78,"Monday, Jun 28",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
79,"Tuesday, Jun 29",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
80,"Thursday, Jul 1",preview,SFG,@,ARI,9:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
81,"Friday, Jul 2",preview,SFG,@,ARI,9:40 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
82,"Saturday, Jul 3",preview,SFG,@,ARI,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
83,"Sunday, Jul 4",preview,SFG,@,ARI,9:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
84,"Monday, Jul 5",preview,SFG,,STL,5:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
85,"Tuesday, Jul 6",preview,SFG,,STL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
86,"Wednesday, Jul 7",preview,SFG,,STL,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
87,"Friday, Jul 9",preview,SFG,,WSN,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
88,"Saturday, Jul 10",preview,SFG,,WSN,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
89,"Sunday, Jul 11",preview,SFG,,WSN,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
90,"Friday, Jul 16",preview,SFG,@,STL,8:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
91,"Saturday, Jul 17",preview,SFG,@,STL,7:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
92,"Sunday, Jul 18",preview,SFG,@,STL,2:15 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
93,"Monday, Jul 19",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
94,"Tuesday, Jul 20",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
95,"Wednesday, Jul 21",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
96,"Thursday, Jul 22",preview,SFG,@,LAD,10:10 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
97,"Friday, Jul 23",preview,SFG,,PIT,9:45 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
98,"Saturday, Jul 24",preview,SFG,,PIT,9:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
99,"Sunday, Jul 25",preview,SFG,,PIT,4:05 PM,,,"Game Preview, and Matchups",,,,,,,,,,,,
