away_team,away_score,home_team,home_score
Chicago White Sox,NA,New York Yankees,NA
Boston Red Sox,NA,Toronto Blue Jays,NA
Washington Nationals,NA,Atlanta Braves,NA
New York Mets,NA,Chicago Cubs,NA
Minnesota Twins,NA,Texas Rangers,NA
Kansas City Royals,NA,Los Angeles Angels,NA
Los Angeles Dodgers,NA,Arizona Diamondbacks,NA
Colorado Rockies,NA,Seattle Mariners,NA
Milwaukee Brewers,NA,San Diego Padres,NA
St. Louis Cardinals,NA,San Francisco Giants,NA
Houston Astros,NA,Athletics,NA
Washington Nationals,NA,Atlanta Braves,NA
Milwaukee Brewers,NA,San Diego Padres,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Detroit Tigers,NA,Cleveland Guardians,NA
Pittsburgh Pirates,NA,Cincinnati Reds,NA
Miami Marlins,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,New York Yankees,NA
Boston Red Sox,NA,Toronto Blue Jays,NA
New York Mets,NA,Chicago Cubs,NA
Minnesota Twins,NA,Texas Rangers,NA
Kansas City Royals,NA,Los Angeles Angels,NA
Los Angeles Dodgers,NA,Arizona Diamondbacks,NA
Colorado Rockies,NA,Seattle Mariners,NA
St. Louis Cardinals,NA,San Francisco Giants,NA
Houston Astros,NA,Athletics,NA
Pittsburgh Pirates,NA,Cincinnati Reds,NA
Tampa Bay Rays,NA,Baltimore Orioles,NA
Minnesota Twins,NA,Texas Rangers,NA
Houston Astros,NA,Athletics,NA
Los Angeles Dodgers,NA,Arizona Diamondbacks,NA
Miami Marlins,NA,Philadelphia Phillies,NA
Detroit Tigers,NA,Cleveland Guardians,NA
Chicago White Sox,NA,New York Yankees,NA
Boston Red Sox,NA,Toronto Blue Jays,NA
New York Mets,NA,Chicago Cubs,NA
Kansas City Royals,NA,Los Angeles Angels,NA
Colorado Rockies,NA,Seattle Mariners,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
Minnesota Twins,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,Washington Nationals,NA
Baltimore Orioles,NA,New York Yankees,NA
Tampa Bay Rays,NA,Toronto Blue Jays,NA
Detroit Tigers,NA,Boston Red Sox,NA
Texas Rangers,NA,Cleveland Guardians,NA
New York Mets,NA,Miami Marlins,NA
Pittsburgh Pirates,NA,Atlanta Braves,NA
Cincinnati Reds,NA,Milwaukee Brewers,NA
Houston Astros,NA,Los Angeles Angels,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Los Angeles Dodgers,NA,Seattle Mariners,NA
Kansas City Royals,NA,Athletics,NA
Colorado Rockies,NA,San Francisco Giants,NA
Baltimore Orioles,NA,New York Yankees,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
Tampa Bay Rays,NA,Toronto Blue Jays,NA
Colorado Rockies,NA,San Francisco Giants,NA
Chicago White Sox,NA,Washington Nationals,NA
Detroit Tigers,NA,Boston Red Sox,NA
New York Mets,NA,Miami Marlins,NA
Minnesota Twins,NA,Philadelphia Phillies,NA
Texas Rangers,NA,Cleveland Guardians,NA
Cincinnati Reds,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,Atlanta Braves,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Houston Astros,NA,Los Angeles Angels,NA
Los Angeles Dodgers,NA,Seattle Mariners,NA
Kansas City Royals,NA,Athletics,NA
Detroit Tigers,NA,Boston Red Sox,NA
Kansas City Royals,NA,Athletics,NA
Colorado Rockies,NA,San Francisco Giants,NA
Minnesota Twins,NA,Philadelphia Phillies,NA
Chicago White Sox,NA,Washington Nationals,NA
Baltimore Orioles,NA,New York Yankees,NA
Houston Astros,NA,Los Angeles Angels,NA
Tampa Bay Rays,NA,Toronto Blue Jays,NA
Arizona Diamondbacks,NA,San Diego Padres,NA
Los Angeles Dodgers,NA,Seattle Mariners,NA
Texas Rangers,NA,Cleveland Guardians,NA
New York Mets,NA,Miami Marlins,NA
Cincinnati Reds,NA,Milwaukee Brewers,NA
Pittsburgh Pirates,NA,Atlanta Braves,NA
St. Louis Cardinals,NA,Chicago Cubs,NA
