away_team,away_score,home_team,home_score
Houston Astros,6,Seattle Mariners,7
Chicago White Sox,2,Cleveland Guardians,3
Toronto Blue Jays,2,Boston Red Sox,1
Los Angeles Angels,4,Tampa Bay Rays,5
Philadelphia Phillies,4,Atlanta Braves,3
Minnesota Twins,4,Kansas City Royals,0
Milwaukee Brewers,17,Colorado Rockies,2
Los Angeles Angels,11,Tampa Bay Rays,1
Chicago White Sox,1,Cleveland Guardians,6
Minnesota Twins,2,Kansas City Royals,3
Milwaukee Brewers,2,Colorado Rockies,7
Toronto Blue Jays,3,Boston Red Sox,4
Philadelphia Phillies,2,Atlanta Braves,4
Kansas City Royals,0,Cleveland Guardians,7
Pittsburgh Pirates,3,Cincinnati Reds,5
Atlanta Braves,3,Tampa Bay Rays,6
San Francisco Giants,9,New York Yankees,1
Washington Nationals,7,Miami Marlins,4
Boston Red Sox,1,Chicago White Sox,11
Los Angeles Angels,3,Houston Astros,14
Detroit Tigers,7,Minnesota Twins,6
Philadelphia Phillies,0,St. Louis Cardinals,2
Colorado Rockies,0,San Diego Padres,8
Texas Rangers,3,Seattle Mariners,5
Milwaukee Brewers,7,Arizona Diamondbacks,0
New York Mets,7,Athletics,6
Chicago Cubs,0,Los Angeles Dodgers,3
Toronto Blue Jays,NA,Baltimore Orioles,NA
Detroit Tigers,4,Minnesota Twins,0
Philadelphia Phillies,4,St. Louis Cardinals,1
San Francisco Giants,4,New York Yankees,8
New York Mets,1,Athletics,3
Toronto Blue Jays,4,Baltimore Orioles,5
Atlanta Braves,5,Tampa Bay Rays,4
Boston Red Sox,2,Chicago White Sox,3
Washington Nationals,6,Miami Marlins,7
Kansas City Royals,3,Cleveland Guardians,6
Pittsburgh Pirates,2,Cincinnati Reds,5
Los Angeles Angels,4,Houston Astros,1
Milwaukee Brewers,4,Arizona Diamondbacks,5
Colorado Rockies,0,San Diego Padres,2
Chicago Cubs,16,Los Angeles Dodgers,0
Texas Rangers,2,Seattle Mariners,9
Toronto Blue Jays,7,Baltimore Orioles,6
San Francisco Giants,5,New York Yankees,4
Kansas City Royals,4,Cleveland Guardians,2
Pittsburgh Pirates,0,Cincinnati Reds,4
Atlanta Braves,3,Tampa Bay Rays,8
Washington Nationals,4,Miami Marlins,11
Los Angeles Angels,3,Houston Astros,7
Detroit Tigers,1,Minnesota Twins,5
Boston Red Sox,3,Chicago White Sox,1
Philadelphia Phillies,0,St. Louis Cardinals,7
New York Mets,8,Athletics,0
Colorado Rockies,0,San Diego Padres,6
Texas Rangers,1,Seattle Mariners,3
Milwaukee Brewers,2,Arizona Diamondbacks,5
Chicago Cubs,4,Los Angeles Dodgers,2
Washington Nationals,3,Pittsburgh Pirates,10
San Francisco Giants,10,Philadelphia Phillies,4
Boston Red Sox,1,Tampa Bay Rays,16
Kansas City Royals,1,New York Yankees,4
Atlanta Braves,8,Toronto Blue Jays,4
New York Mets,5,Minnesota Twins,1
Detroit Tigers,9,Milwaukee Brewers,1
Houston Astros,3,St. Louis Cardinals,8
Chicago Cubs,4,San Diego Padres,10
Colorado Rockies,3,Los Angeles Dodgers,5
Washington Nationals,3,Pittsburgh Pirates,0
Seattle Mariners,4,Cincinnati Reds,8
Arizona Diamondbacks,10,Miami Marlins,4
San Francisco Giants,4,Philadelphia Phillies,6
Cleveland Guardians,6,Baltimore Orioles,3
Boston Red Sox,7,Tampa Bay Rays,4
Kansas City Royals,2,New York Yankees,4
Atlanta Braves,3,Toronto Blue Jays,6
New York Mets,3,Minnesota Twins,6
Athletics,12,Chicago White Sox,3
Detroit Tigers,0,Milwaukee Brewers,5
Houston Astros,2,St. Louis Cardinals,0
Los Angeles Angels,0,Texas Rangers,4
Chicago Cubs,2,San Diego Padres,1
Colorado Rockies,2,Los Angeles Dodgers,6
Atlanta Braves,1,Toronto Blue Jays,3
New York Mets,3,Minnesota Twins,4
Detroit Tigers,1,Milwaukee Brewers,5
Houston Astros,1,St. Louis Cardinals,4
Chicago Cubs,2,San Diego Padres,4
Cleveland Guardians,1,Baltimore Orioles,9
Washington Nationals,1,Pittsburgh Pirates,6
Seattle Mariners,5,Cincinnati Reds,3
Arizona Diamondbacks,6,Miami Marlins,2
San Francisco Giants,11,Philadelphia Phillies,4
Boston Red Sox,1,Tampa Bay Rays,0
Kansas City Royals,3,New York Yankees,4
Athletics,3,Chicago White Sox,1
Los Angeles Angels,1,Texas Rangers,3
Colorado Rockies,7,Los Angeles Dodgers,8
Arizona Diamondbacks,6,Miami Marlins,4
Washington Nationals,0,Pittsburgh Pirates,1
Seattle Mariners,11,Cincinnati Reds,7
Athletics,8,Chicago White Sox,0
San Francisco Giants,4,Philadelphia Phillies,6
Cleveland Guardians,2,Baltimore Orioles,6
Kansas City Royals,1,Detroit Tigers,6
New York Yankees,6,Tampa Bay Rays,3
St. Louis Cardinals,1,New York Mets,4
Los Angeles Angels,3,Texas Rangers,5
Arizona Diamondbacks,11,Chicago Cubs,13
Kansas City Royals,3,Detroit Tigers,7
Cleveland Guardians,10,Pittsburgh Pirates,7
Miami Marlins,2,Philadelphia Phillies,7
Cincinnati Reds,8,Baltimore Orioles,3
New York Yankees,1,Tampa Bay Rays,0
Seattle Mariners,1,Toronto Blue Jays,3
St. Louis Cardinals,4,New York Mets,5
Chicago White Sox,3,Boston Red Sox,10
Minnesota Twins,4,Atlanta Braves,6
Los Angeles Dodgers,3,Texas Rangers,0
San Diego Padres,4,Houston Astros,6
Athletics,3,Milwaukee Brewers,5
San Francisco Giants,0,Los Angeles Angels,2
Washington Nationals,NA,Colorado Rockies,NA
Miami Marlins,10,Philadelphia Phillies,11
Kansas City Royals,1,Detroit Tigers,3
Arizona Diamondbacks,2,Chicago Cubs,6
Seattle Mariners,8,Toronto Blue Jays,4
Cincinnati Reds,5,Baltimore Orioles,9
Cleveland Guardians,3,Pittsburgh Pirates,0
St. Louis Cardinals,0,New York Mets,3
Los Angeles Dodgers,3,Texas Rangers,4
Washington Nationals,12,Colorado Rockies,11
Chicago White Sox,3,Boston Red Sox,4
New York Yankees,8,Tampa Bay Rays,10
San Diego Padres,2,Houston Astros,3
Athletics,3,Milwaukee Brewers,1
Minnesota Twins,3,Atlanta Braves,4
San Francisco Giants,3,Los Angeles Angels,2
Cincinnati Reds,24,Baltimore Orioles,2
Cleveland Guardians,5,Pittsburgh Pirates,4
Minnesota Twins,2,Atlanta Braves,6
Chicago White Sox,8,Boston Red Sox,4
Miami Marlins,7,Philadelphia Phillies,5
Seattle Mariners,8,Toronto Blue Jays,3
Kansas City Royals,4,Detroit Tigers,3
St. Louis Cardinals,4,New York Mets,7
New York Yankees,4,Tampa Bay Rays,0
Athletics,1,Milwaukee Brewers,14
Arizona Diamondbacks,3,Chicago Cubs,2
Los Angeles Dodgers,1,Texas Rangers,0
Washington Nationals,3,Colorado Rockies,2
Washington Nationals,1,Colorado Rockies,3
San Francisco Giants,4,Los Angeles Angels,5
San Diego Padres,3,Houston Astros,2
Chicago White Sox,2,Boston Red Sox,4
New York Yankees,4,Cleveland Guardians,6
San Diego Padres,4,Detroit Tigers,6
Cincinnati Reds,3,Miami Marlins,6
Philadelphia Phillies,4,New York Mets,5
St. Louis Cardinals,6,Atlanta Braves,7
Toronto Blue Jays,0,Houston Astros,7
Milwaukee Brewers,2,San Francisco Giants,5
New York Yankees,2,Cleveland Guardians,3
San Diego Padres,2,Detroit Tigers,0
Cincinnati Reds,3,Miami Marlins,4
Baltimore Orioles,0,Washington Nationals,7
Seattle Mariners,3,Boston Red Sox,8
Philadelphia Phillies,1,New York Mets,5
St. Louis Cardinals,10,Atlanta Braves,4
Colorado Rockies,3,Kansas City Royals,4
Los Angeles Dodgers,10,Chicago Cubs,11
Chicago White Sox,2,Minnesota Twins,4
Toronto Blue Jays,1,Houston Astros,5
Pittsburgh Pirates,9,Los Angeles Angels,3
Tampa Bay Rays,1,Arizona Diamondbacks,5
Milwaukee Brewers,11,San Francisco Giants,3
Texas Rangers,8,Athletics,5
St. Louis Cardinals,1,Atlanta Braves,4
San Diego Padres,0,Detroit Tigers,6
Philadelphia Phillies,3,New York Mets,4
Cincinnati Reds,5,Miami Marlins,2
New York Yankees,5,Cleveland Guardians,1
Baltimore Orioles,3,Washington Nationals,4
Seattle Mariners,8,Boston Red Sox,5
Los Angeles Dodgers,6,Chicago Cubs,7
Toronto Blue Jays,1,Houston Astros,3
Chicago White Sox,3,Minnesota Twins,6
Pittsburgh Pirates,3,Los Angeles Angels,0
Tampa Bay Rays,7,Arizona Diamondbacks,6
Milwaukee Brewers,2,San Francisco Giants,4
Texas Rangers,2,Athletics,5
Colorado Rockies,NA,Kansas City Royals,NA
Chicago White Sox,3,Minnesota Twins,0
Seattle Mariners,4,Boston Red Sox,3
Colorado Rockies,4,Kansas City Royals,7
Colorado Rockies,2,Kansas City Royals,6
Milwaukee Brewers,5,San Francisco Giants,6
Baltimore Orioles,2,Washington Nationals,1
Pittsburgh Pirates,3,Los Angeles Angels,4
Tampa Bay Rays,7,Arizona Diamondbacks,4
Texas Rangers,3,Athletics,4
Philadelphia Phillies,0,Chicago Cubs,4
New York Mets,4,Washington Nationals,5
Toronto Blue Jays,4,New York Yankees,2
Houston Astros,0,Kansas City Royals,2
Los Angeles Angels,4,Minnesota Twins,11
Milwaukee Brewers,2,St. Louis Cardinals,3
Cincinnati Reds,8,Colorado Rockies,7
Tampa Bay Rays,1,San Diego Padres,0
Atlanta Braves,8,Arizona Diamondbacks,2
Miami Marlins,8,Seattle Mariners,4
Chicago White Sox,5,Athletics,6
Pittsburgh Pirates,3,Los Angeles Dodgers,0
Texas Rangers,2,San Francisco Giants,0
Baltimore Orioles,NA,Detroit Tigers,NA
Boston Red Sox,NA,Cleveland Guardians,NA
Boston Red Sox,4,Cleveland Guardians,5
Boston Red Sox,7,Cleveland Guardians,3
Baltimore Orioles,3,Detroit Tigers,4
Baltimore Orioles,2,Detroit Tigers,6
Los Angeles Angels,1,Minnesota Twins,5
Milwaukee Brewers,5,St. Louis Cardinals,6
Cincinnati Reds,6,Colorado Rockies,4
New York Mets,2,Washington Nationals,0
Texas Rangers,2,San Francisco Giants,3
Philadelphia Phillies,10,Chicago Cubs,4
Chicago White Sox,10,Athletics,3
Houston Astros,0,Kansas City Royals,2
Atlanta Braves,8,Arizona Diamondbacks,7
Tampa Bay Rays,4,San Diego Padres,1
Pittsburgh Pirates,4,Los Angeles Dodgers,8
Miami Marlins,0,Seattle Mariners,14
Toronto Blue Jays,NA,New York Yankees,NA
New York Mets,7,Washington Nationals,8
Toronto Blue Jays,2,New York Yankees,11
Toronto Blue Jays,1,New York Yankees,5
Boston Red Sox,13,Cleveland Guardians,3
Baltimore Orioles,0,Detroit Tigers,7
Los Angeles Angels,0,Minnesota Twins,5
Houston Astros,7,Kansas City Royals,3
Milwaukee Brewers,7,St. Louis Cardinals,1
Cincinnati Reds,8,Colorado Rockies,1
Texas Rangers,2,San Francisco Giants,3
Chicago White Sox,2,Athletics,3
Pittsburgh Pirates,2,Los Angeles Dodgers,9
Tampa Bay Rays,4,San Diego Padres,2
Atlanta Braves,4,Arizona Diamondbacks,6
Miami Marlins,6,Seattle Mariners,7
Philadelphia Phillies,3,Chicago Cubs,1
New York Mets,19,Washington Nationals,5
Minnesota Twins,11,Cleveland Guardians,1
New York Yankees,3,Baltimore Orioles,4
St. Louis Cardinals,1,Cincinnati Reds,3
Athletics,2,Texas Rangers,1
Detroit Tigers,5,Houston Astros,8
Atlanta Braves,6,Colorado Rockies,3
Miami Marlins,6,Los Angeles Dodgers,7
Minnesota Twins,1,Cleveland Guardians,2
New York Yankees,15,Baltimore Orioles,3
