team,score,opp_score,run_diff,rd_running,game_count
Toronto Blue Jays,2,3,-1,-28,46
Cleveland Guardians,1,3,-2,-20,46
Cincinnati Reds,3,1,2,30,48
Tampa Bay Rays,1,5,-4,-9,46
Miami Marlins,5,1,4,-66,45
St. Louis Cardinals,1,2,-1,38,47
Kansas City Royals,2,1,1,-1,48
Minnesota Twins,2,5,-3,35,47
Milwaukee Brewers,5,2,3,-7,47
Chicago White Sox,2,6,-4,-53,47
Chicago Cubs,6,2,4,70,47
Athletics,2,3,-1,-61,47
San Francisco Giants,3,2,1,47,47
Colorado Rockies,0,1,-1,-144,46
Arizona Diamondbacks,1,0,1,3,47
Los Angeles Angels,6,4,2,-59,45
Los Angeles Dodgers,4,6,-2,63,47
Seattle Mariners,6,1,5,23,45
San Diego Padres,1,6,-5,38,45
New York Mets,2,8,-6,56,47
New York Yankees,8,2,6,90,46
Cincinnati Reds,7,1,6,36,49
Pittsburgh Pirates,1,7,-6,-68,48
Chicago Cubs,7,8,-1,69,48
Miami Marlins,8,7,1,-65,46
New York Mets,1,3,-2,54,48
Boston Red Sox,3,1,2,10,49
Houston Astros,4,3,1,21,47
Tampa Bay Rays,3,4,-1,-10,47
Cleveland Guardians,5,6,-1,-21,47
Minnesota Twins,6,5,1,36,48
Seattle Mariners,5,1,4,27,46
Chicago White Sox,1,5,-4,-57,48
Baltimore Orioles,4,5,-1,-86,46
Milwaukee Brewers,5,4,1,-6,48
Detroit Tigers,4,11,-7,80,48
St. Louis Cardinals,11,4,7,45,48
Philadelphia Phillies,9,3,6,30,47
Colorado Rockies,3,9,-6,-150,47
Kansas City Royals,3,1,2,1,49
San Francisco Giants,1,3,-2,45,48
Los Angeles Angels,4,3,1,-58,46
Athletics,3,4,-1,-62,48
Arizona Diamondbacks,9,5,4,7,48
Los Angeles Dodgers,5,9,-4,59,48
Cincinnati Reds,0,1,-1,35,50
Pittsburgh Pirates,1,0,1,-67,49
Chicago Cubs,14,1,13,82,49
Miami Marlins,1,14,-13,-78,47
New York Mets,0,2,-2,52,49
Boston Red Sox,2,0,2,12,50
Atlanta Braves,3,5,-2,9,48
Washington Nationals,5,3,2,-47,49
Houston Astros,2,3,-1,20,48
Tampa Bay Rays,3,2,1,-9,48
Texas Rangers,2,5,-3,-2,49
New York Yankees,5,2,3,93,47
San Diego Padres,0,3,-3,35,46
Toronto Blue Jays,3,0,3,-25,47
Seattle Mariners,0,1,-1,26,47
Chicago White Sox,1,0,1,-56,49
Baltimore Orioles,2,5,-3,-89,47
Milwaukee Brewers,5,2,3,-3,49
Detroit Tigers,5,4,1,81,49
St. Louis Cardinals,4,5,-1,44,49
Philadelphia Phillies,7,4,3,33,48
Colorado Rockies,4,7,-3,-153,48
Kansas City Royals,2,3,-1,0,50
San Francisco Giants,3,2,1,46,49
Los Angeles Angels,7,5,2,-56,47
Athletics,5,7,-2,-64,49
Arizona Diamondbacks,3,4,-1,6,49
Los Angeles Dodgers,4,3,1,60,49
Cincinnati Reds,1,3,-2,33,51
Pittsburgh Pirates,3,1,2,-65,50
Houston Astros,4,8,-4,16,49
Tampa Bay Rays,8,4,4,-5,49
Cleveland Guardians,5,6,-1,-22,48
Minnesota Twins,6,5,1,37,49
Chicago Cubs,2,1,1,83,50
Miami Marlins,1,2,-1,-79,48
Baltimore Orioles,8,4,4,-85,48
Milwaukee Brewers,4,8,-4,-7,50
Detroit Tigers,5,1,4,85,50
St. Louis Cardinals,1,5,-4,40,50
Seattle Mariners,6,5,1,27,48
Chicago White Sox,5,6,-1,-57,50
Kansas City Royals,8,4,4,4,51
San Francisco Giants,4,8,-4,42,50
Cleveland Guardians,5,1,4,-18,49
Minnesota Twins,1,5,-4,33,50
New York Mets,5,1,4,56,50
Boston Red Sox,1,5,-4,8,51
Texas Rangers,3,4,-1,-3,50
New York Yankees,4,3,1,94,48
San Diego Padres,0,14,-14,21,47
Toronto Blue Jays,14,0,14,-11,48
Philadelphia Phillies,9,5,4,37,49
Colorado Rockies,5,9,-4,-157,49
Los Angeles Angels,10,5,5,-51,48
Athletics,5,10,-5,-69,50
Arizona Diamondbacks,1,3,-2,4,50
Los Angeles Dodgers,3,1,2,62,50
Texas Rangers,0,1,-1,-4,51
New York Yankees,1,0,1,95,49
San Diego Padres,6,7,-1,20,48
Toronto Blue Jays,7,6,1,-10,49
Philadelphia Phillies,2,0,2,39,50
Colorado Rockies,0,2,-2,-159,50
Los Angeles Angels,10,5,5,-46,49
Athletics,5,10,-5,-74,51
Cleveland Guardians,7,0,7,-11,50
Detroit Tigers,0,7,-7,78,51
Milwaukee Brewers,8,5,3,-4,51
Pittsburgh Pirates,5,8,-3,-68,51
Atlanta Braves,7,8,-1,8,49
Washington Nationals,8,7,1,-46,50
Seattle Mariners,2,9,-7,20,49
Houston Astros,9,2,7,23,50
Baltimore Orioles,5,19,-14,-99,49
Boston Red Sox,19,5,14,22,52
Chicago Cubs,13,6,7,90,51
Cincinnati Reds,6,13,-7,26,52
Milwaukee Brewers,5,6,-1,-5,52
Pittsburgh Pirates,6,5,1,-67,52
San Francisco Giants,4,0,4,46,51
Washington Nationals,0,4,-4,-50,51
Toronto Blue Jays,1,3,-2,-12,50
Tampa Bay Rays,3,1,2,-3,50
Cleveland Guardians,3,1,2,-9,51
Detroit Tigers,1,3,-2,76,52
Los Angeles Dodgers,7,5,2,64,51
New York Mets,5,7,-2,54,51
San Diego Padres,2,1,1,21,49
Atlanta Braves,1,2,-1,7,50
Texas Rangers,1,4,-3,-7,52
Chicago White Sox,4,1,3,-54,51
Seattle Mariners,5,3,2,22,50
Houston Astros,3,5,-2,21,51
Kansas City Royals,1,3,-2,2,52
Minnesota Twins,3,1,2,35,51
Arizona Diamondbacks,3,4,-1,3,51
St. Louis Cardinals,4,3,1,41,51
New York Yankees,2,3,-1,94,50
Colorado Rockies,3,2,1,-158,51
Miami Marlins,4,7,-3,-82,49
Los Angeles Angels,7,4,3,-43,50
Philadelphia Phillies,4,3,1,40,51
Athletics,3,4,-1,-75,52
Baltimore Orioles,5,6,-1,-100,50
Boston Red Sox,6,5,1,23,53
Baltimore Orioles,2,1,1,-99,51
Boston Red Sox,1,2,-1,22,54
Kansas City Royals,4,5,-1,1,53
Minnesota Twins,5,4,1,36,52
Arizona Diamondbacks,5,6,-1,2,52
St. Louis Cardinals,6,5,1,42,52
San Francisco Giants,0,3,-3,43,52
Washington Nationals,3,0,3,-47,52
Milwaukee Brewers,1,2,-1,-6,53
Pittsburgh Pirates,2,1,1,-66,53
Chicago Cubs,4,6,-2,88,52
Cincinnati Reds,6,4,2,28,53
Seattle Mariners,1,2,-1,21,51
Houston Astros,2,1,1,22,52
San Diego Padres,1,7,-6,15,50
Atlanta Braves,7,1,6,13,51
Texas Rangers,5,10,-5,-12,53
Chicago White Sox,10,5,5,-49,52
New York Yankees,13,1,12,106,51
Colorado Rockies,1,13,-12,-170,52
Toronto Blue Jays,1,3,-2,-14,51
Tampa Bay Rays,3,1,2,-1,51
Cleveland Guardians,7,5,2,-7,52
Detroit Tigers,5,7,-2,74,53
Los Angeles Dodgers,2,5,-3,61,52
New York Mets,5,2,3,57,52
Philadelphia Phillies,9,6,3,43,52
Athletics,6,9,-3,-78,53
Miami Marlins,6,2,4,-78,50
Los Angeles Angels,2,6,-4,-47,51
Cleveland Guardians,0,5,-5,-12,53
Detroit Tigers,5,0,5,79,54
Baltimore Orioles,5,1,4,-95,52
Boston Red Sox,1,5,-4,18,55
San Francisco Giants,3,2,1,44,53
Washington Nationals,2,3,-1,-48,53
Milwaukee Brewers,6,5,1,-5,54
Pittsburgh Pirates,5,6,-1,-67,54
Chicago Cubs,11,8,3,91,53
Cincinnati Reds,8,11,-3,25,54
Toronto Blue Jays,0,13,-13,-27,52
Tampa Bay Rays,13,0,13,12,52
Seattle Mariners,3,5,-2,19,52
Houston Astros,5,3,2,24,53
Kansas City Royals,2,1,1,2,54
Minnesota Twins,1,2,-1,35,53
Texas Rangers,5,4,1,-11,54
Chicago White Sox,4,5,-1,-50,53
Arizona Diamondbacks,3,4,-1,1,53
St. Louis Cardinals,4,3,1,43,53
New York Yankees,5,4,1,107,52
Colorado Rockies,4,5,-1,-171,53
Philadelphia Phillies,4,5,-1,42,53
Athletics,5,4,1,-77,54
Miami Marlins,3,0,3,-75,51
Los Angeles Angels,0,3,-3,-50,52
San Diego Padres,5,3,2,17,51
Atlanta Braves,3,5,-2,11,52
Los Angeles Dodgers,1,3,-2,59,53
New York Mets,3,1,2,59,53
San Francisco Giants,1,3,-2,42,54
Detroit Tigers,3,1,2,81,55
Boston Red Sox,2,3,-1,17,56
Milwaukee Brewers,3,2,1,-4,55
Colorado Rockies,1,3,-2,-173,54
Chicago Cubs,3,1,2,93,54
St. Louis Cardinals,2,5,-3,40,54
Baltimore Orioles,5,2,3,-92,53
Toronto Blue Jays,2,1,1,-26,53
Texas Rangers,1,2,-1,-12,55
Cincinnati Reds,7,4,3,28,55
Kansas City Royals,4,7,-3,-1,55
Chicago White Sox,1,2,-1,-51,54
New York Mets,2,1,1,60,54
Los Angeles Dodgers,7,2,5,64,54
Cleveland Guardians,2,7,-5,-17,54
Minnesota Twins,2,7,-5,30,54
Tampa Bay Rays,7,2,5,17,53
Pittsburgh Pirates,0,5,-5,-72,55
Arizona Diamondbacks,5,0,5,6,54
Miami Marlins,3,4,-1,-76,52
San Diego Padres,4,3,1,18,52
New York Yankees,5,1,4,111,53
Los Angeles Angels,1,5,-4,-54,53
Los Angeles Dodgers,9,5,4,68,55
Cleveland Guardians,5,9,-4,-21,55
St. Louis Cardinals,7,4,3,43,55
Baltimore Orioles,4,7,-3,-95,54
San Francisco Giants,1,3,-2,40,55
Detroit Tigers,3,1,2,83,56
Atlanta Braves,0,2,-2,9,53
Philadelphia Phillies,2,0,2,44,54
Minnesota Twins,4,2,2,32,55
Tampa Bay Rays,2,4,-2,15,54
Chicago White Sox,4,6,-2,-53,55
New York Mets,6,4,2,62,55
Cincinnati Reds,7,2,5,33,56
Kansas City Royals,2,7,-5,-6,56
Boston Red Sox,1,5,-4,13,57
Milwaukee Brewers,5,1,4,0,56
Colorado Rockies,3,4,-1,-174,55
Chicago Cubs,4,3,1,94,55
Toronto Blue Jays,0,2,-2,-28,54
Texas Rangers,2,0,2,-10,56
Athletics,1,11,-10,-87,55
Houston Astros,11,1,10,34,54
New York Yankees,3,2,1,112,54
Los Angeles Angels,2,3,-1,-55,54
Pittsburgh Pirates,9,6,3,-69,56
Arizona Diamondbacks,6,9,-3,3,55
Washington Nationals,1,9,-8,-56,54
Seattle Mariners,9,1,8,27,53
Miami Marlins,6,8,-2,-78,53
San Diego Padres,8,6,2,20,53
Los Angeles Dodgers,4,7,-3,65,56
Cleveland Guardians,7,4,3,-18,56
San Francisco Giants,3,4,-1,39,56
Detroit Tigers,4,3,1,84,57
Minnesota Twins,0,5,-5,27,56
Tampa Bay Rays,5,0,5,20,55
Chicago White Sox,9,4,5,-48,56
New York Mets,4,9,-5,57,56
Boston Red Sox,5,6,-1,12,58
Milwaukee Brewers,6,5,1,1,57
Athletics,3,5,-2,-89,56
Houston Astros,5,3,2,36,55
Pittsburgh Pirates,10,1,9,-60,57
Arizona Diamondbacks,1,10,-9,-6,56
Miami Marlins,10,8,2,-76,54
San Diego Padres,8,10,-2,18,54
St. Louis Cardinals,6,4,2,45,56
Baltimore Orioles,4,6,-2,-97,55
Cincinnati Reds,2,3,-1,32,57
Kansas City Royals,3,2,1,-5,57
Colorado Rockies,1,2,-1,-175,56
Chicago Cubs,2,1,1,95,56
Toronto Blue Jays,2,0,2,-26,55
Texas Rangers,0,2,-2,-12,57
New York Yankees,1,0,1,113,55
Los Angeles Angels,0,1,-1,-56,55
Washington Nationals,9,0,9,-47,55
Seattle Mariners,0,9,-9,18,54
Atlanta Braves,4,5,-1,8,54
Philadelphia Phillies,5,4,1,45,55
Atlanta Braves,9,3,6,14,55
Philadelphia Phillies,3,9,-6,39,56
Athletics,0,12,-12,-101,57
Toronto Blue Jays,12,0,12,-14,56
Tampa Bay Rays,13,3,10,30,56
Houston Astros,3,13,-10,26,56
Washington Nationals,9,3,6,-41,56
Seattle Mariners,3,9,-6,12,55
Cincinnati Reds,6,2,4,36,58
Chicago Cubs,2,6,-4,91,57
Chicago White Sox,1,2,-1,-49,57
Baltimore Orioles,2,1,1,-96,56
Milwaukee Brewers,6,2,4,5,58
Philadelphia Phillies,2,6,-4,35,57
Athletics,7,11,-4,-105,58
Toronto Blue Jays,11,7,4,-10,57
Los Angeles Angels,4,1,3,-53,56
Cleveland Guardians,1,4,-3,-21,57
Colorado Rockies,2,4,-2,-177,57
New York Mets,4,2,2,59,57
San Francisco Giants,2,0,2,41,57
Miami Marlins,0,2,-2,-78,55
Boston Red Sox,5,1,4,16,59
Atlanta Braves,1,5,-4,10,56
St. Louis Cardinals,1,11,-10,35,57
Texas Rangers,11,1,10,-2,58
Detroit Tigers,7,5,2,86,58
Kansas City Royals,5,7,-2,-7,58
Tampa Bay Rays,1,2,-1,29,57
Houston Astros,2,1,1,27,57
Washington Nationals,9,7,2,-39,57
Arizona Diamondbacks,7,9,-2,-8,57
Pittsburgh Pirates,2,3,-1,-61,58
San Diego Padres,3,2,1,19,55
Minnesota Twins,12,6,6,33,57
Seattle Mariners,6,12,-6,6,56
New York Yankees,5,8,-3,110,56
Los Angeles Dodgers,8,5,3,68,57
Cincinnati Reds,0,2,-2,34,59
Chicago Cubs,2,0,2,93,58
Athletics,7,8,-1,-106,59
Toronto Blue Jays,8,7,1,-9,58
St. Louis Cardinals,2,0,2,37,58
Texas Rangers,0,2,-2,-4,59
Chicago White Sox,2,4,-2,-51,58
Baltimore Orioles,4,2,2,-94,57
Milwaukee Brewers,17,7,10,15,59
Philadelphia Phillies,7,17,-10,25,58
Los Angeles Angels,5,7,-2,-55,57
Cleveland Guardians,7,5,2,-19,58
Detroit Tigers,0,1,-1,85,59
Kansas City Royals,1,0,1,-6,59
Colorado Rockies,2,8,-6,-183,58
New York Mets,8,2,6,65,58
Tampa Bay Rays,16,3,13,42,58
Houston Astros,3,16,-13,14,58
Boston Red Sox,0,5,-5,11,60
Atlanta Braves,5,0,5,15,57
San Francisco Giants,0,1,-1,40,58
Miami Marlins,1,0,1,-77,56
Minnesota Twins,4,5,-1,32,58
Seattle Mariners,5,4,1,7,57
New York Yankees,2,18,-16,94,57
Los Angeles Dodgers,18,2,16,84,58
Pittsburgh Pirates,5,0,5,-56,59
San Diego Padres,0,5,-5,14,56
Washington Nationals,11,7,4,-35,58
Arizona Diamondbacks,7,11,-4,-12,58
St. Louis Cardinals,1,8,-7,30,59
Texas Rangers,8,1,7,3,60
Boston Red Sox,3,1,2,13,61
Atlanta Braves,1,3,-2,13,58
Chicago White Sox,2,3,-1,-52,59
Baltimore Orioles,3,2,1,-93,58
Milwaukee Brewers,5,2,3,18,60
Philadelphia Phillies,2,5,-3,22,59
Athletics,4,8,-4,-110,60
Toronto Blue Jays,8,4,4,-5,59
Los Angeles Angels,2,4,-2,-57,58
Cleveland Guardians,4,2,2,-17,59
Colorado Rockies,3,5,-2,-185,59
New York Mets,5,3,2,67,59
San Francisco Giants,4,2,2,42,59
Miami Marlins,2,4,-2,-79,57
Detroit Tigers,1,0,1,86,60
Kansas City Royals,0,1,-1,-7,60
Tampa Bay Rays,0,1,-1,41,59
Houston Astros,1,0,1,15,59
Cincinnati Reds,3,7,-4,30,60
Chicago Cubs,7,3,4,97,59
Washington Nationals,1,3,-2,-37,59
Arizona Diamondbacks,3,1,2,-10,59
Minnesota Twins,1,2,-1,31,59
Seattle Mariners,2,1,1,8,58
Pittsburgh Pirates,4,6,-2,-58,60
San Diego Padres,6,4,2,16,57
New York Yankees,7,3,4,98,58
Los Angeles Dodgers,3,7,-4,80,59
Colorado Rockies,6,4,2,-183,60
Miami Marlins,4,6,-2,-81,58
Los Angeles Angels,7,6,1,-56,59
Boston Red Sox,6,7,-1,12,62
Milwaukee Brewers,3,2,1,19,61
Cincinnati Reds,2,3,-1,29,61
Detroit Tigers,13,1,12,98,61
Chicago White Sox,1,13,-12,-64,60
San Diego Padres,1,0,1,17,58
San Francisco Giants,0,1,-1,41,60
Minnesota Twins,10,4,6,37,60
Athletics,4,10,-6,-116,61
New York Mets,4,3,1,68,60
Los Angeles Dodgers,3,4,-1,79,60
Houston Astros,3,0,3,18,60
Pittsburgh Pirates,0,3,-3,-61,61
Colorado Rockies,3,2,1,-182,61
Miami Marlins,2,3,-1,-82,59
Chicago Cubs,8,3,5,102,60
Washington Nationals,3,8,-5,-42,60
Cleveland Guardians,2,3,-1,-18,60
New York Yankees,3,2,1,99,59
Philadelphia Phillies,8,3,5,27,60
Toronto Blue Jays,3,8,-5,-10,60
Los Angeles Angels,4,3,1,-55,60
Boston Red Sox,3,4,-1,11,63
Milwaukee Brewers,2,4,-2,17,62
Cincinnati Reds,4,2,2,31,62
Arizona Diamondbacks,8,3,5,-5,60
Atlanta Braves,3,8,-5,8,59
Texas Rangers,1,5,-4,-1,61
Tampa Bay Rays,5,1,4,45,60
Detroit Tigers,1,8,-7,91,62
Chicago White Sox,8,1,7,-57,61
Kansas City Royals,10,7,3,-4,61
St. Louis Cardinals,7,10,-3,27,60
Baltimore Orioles,5,1,4,-89,59
Seattle Mariners,1,5,-4,4,59
San Diego Padres,3,2,1,18,59
San Francisco Giants,2,3,-1,40,61
Minnesota Twins,10,3,7,44,61
Athletics,3,10,-7,-123,62
New York Mets,5,6,-1,67,61
Los Angeles Dodgers,6,5,1,80,61
Colorado Rockies,3,2,1,-181,62
Miami Marlins,2,3,-1,-83,60
Milwaukee Brewers,9,1,8,25,63
Cincinnati Reds,1,9,-8,23,63
Los Angeles Angels,9,11,-2,-57,61
Boston Red Sox,11,9,2,13,64
Houston Astros,0,3,-3,15,61
Pittsburgh Pirates,3,0,3,-58,62
Chicago Cubs,0,2,-2,100,61
Washington Nationals,2,0,2,-40,61
Cleveland Guardians,4,0,4,-14,61
New York Yankees,0,4,-4,95,60
Philadelphia Phillies,1,2,-1,26,61
Toronto Blue Jays,2,1,1,-9,61
Arizona Diamondbacks,2,1,1,-4,61
Atlanta Braves,1,2,-1,7,60
Texas Rangers,4,5,-1,-2,62
Tampa Bay Rays,5,4,1,46,61
Detroit Tigers,5,4,1,92,63
Chicago White Sox,4,5,-1,-58,62
Baltimore Orioles,3,2,1,-88,60
Seattle Mariners,2,3,-1,3,60
San Diego Padres,5,6,-1,17,60
San Francisco Giants,6,5,1,41,62
Minnesota Twins,6,1,5,49,62
Athletics,1,6,-5,-128,63
New York Mets,6,1,5,72,62
Los Angeles Dodgers,1,6,-5,75,62
Arizona Diamondbacks,11,10,1,-3,62
Atlanta Braves,10,11,-1,6,61
Kansas City Royals,5,6,-1,-5,62
St. Louis Cardinals,6,5,1,28,61
Kansas City Royals,7,5,2,-3,63
St. Louis Cardinals,5,7,-2,26,62
Detroit Tigers,2,3,-1,91,64
Chicago White Sox,3,2,1,-57,63
Philadelphia Phillies,1,9,-8,18,62
Toronto Blue Jays,9,1,8,-1,62
Minnesota Twins,3,14,-11,38,63
Athletics,14,3,11,-117,64
Baltimore Orioles,4,3,1,-87,61
Seattle Mariners,3,4,-1,2,61
San Diego Padres,2,3,-1,16,61
San Francisco Giants,3,2,1,42,63
New York Mets,5,6,-1,71,63
Los Angeles Dodgers,6,5,1,76,63
Houston Astros,8,2,6,21,62
Pittsburgh Pirates,2,8,-6,-64,63
Chicago Cubs,7,1,6,106,62
Washington Nationals,1,7,-6,-46,62
Cleveland Guardians,0,4,-4,-18,62
New York Yankees,4,0,4,99,61
Texas Rangers,3,4,-1,-3,63
Tampa Bay Rays,4,3,1,47,62
Miami Marlins,3,4,-1,-84,61
Tampa Bay Rays,4,3,1,48,63
Philadelphia Phillies,4,5,-1,17,63
Pittsburgh Pirates,5,4,1,-63,64
Texas Rangers,0,2,-2,-5,64
Washington Nationals,2,0,2,-44,63
Boston Red Sox,6,9,-3,10,65
New York Yankees,9,6,3,102,62
Arizona Diamondbacks,3,4,-1,-4,63
Cincinnati Reds,4,3,1,24,64
Chicago Cubs,1,3,-2,104,63
Detroit Tigers,3,1,2,93,65
Houston Astros,4,2,2,23,63
Cleveland Guardians,2,4,-2,-20,63
Kansas City Royals,2,7,-5,-8,64
Chicago White Sox,7,2,5,-52,64
Toronto Blue Jays,6,4,2,1,63
Minnesota Twins,4,6,-2,36,64
San Diego Padres,2,0,2,18,62
Milwaukee Brewers,0,2,-2,23,64
Los Angeles Dodgers,0,5,-5,71,64
St. Louis Cardinals,5,0,5,31,63
New York Mets,4,2,2,73,64
Colorado Rockies,2,4,-2,-183,63
Seattle Mariners,4,5,-1,1,62
Los Angeles Angels,5,4,1,-56,62
Baltimore Orioles,4,5,-1,-88,62
Athletics,5,4,1,-116,65
Atlanta Braves,4,5,-1,5,62
San Francisco Giants,5,4,1,43,64
Chicago Cubs,6,1,5,109,64
Detroit Tigers,1,6,-5,88,66
Arizona Diamondbacks,3,4,-1,-5,64
Cincinnati Reds,4,3,1,25,65
Toronto Blue Jays,5,4,1,2,64
Minnesota Twins,4,5,-1,35,65
Los Angeles Dodgers,1,2,-1,70,65
St. Louis Cardinals,2,1,1,32,64
Texas Rangers,5,0,5,0,65
Washington Nationals,0,5,-5,-49,64
Philadelphia Phillies,1,2,-1,16,64
Pittsburgh Pirates,2,1,1,-62,65
Atlanta Braves,2,3,-1,4,63
San Francisco Giants,3,2,1,44,65
Arizona Diamondbacks,1,13,-12,-17,65
Cincinnati Reds,13,1,12,37,66
Houston Astros,5,3,2,25,64
Cleveland Guardians,3,5,-2,-22,64
Kansas City Royals,1,4,-3,-11,65
Chicago White Sox,4,1,3,-49,65
Miami Marlins,11,10,1,-83,62
Tampa Bay Rays,10,11,-1,47,64
Boston Red Sox,10,7,3,13,66
New York Yankees,7,10,-3,99,63
San Diego Padres,3,4,-1,17,63
Milwaukee Brewers,4,3,1,24,65
Seattle Mariners,6,8,-2,-1,63
Los Angeles Angels,8,6,2,-54,63
New York Mets,8,1,7,80,65
Colorado Rockies,1,8,-7,-190,64
Baltimore Orioles,7,4,3,-85,63
Athletics,4,7,-3,-119,66
Miami Marlins,2,3,-1,-84,63
Tampa Bay Rays,3,2,1,48,65
San Diego Padres,1,0,1,18,64
Milwaukee Brewers,0,1,-1,23,66
Texas Rangers,4,2,2,2,66
Washington Nationals,2,4,-2,-51,65
Philadelphia Phillies,1,2,-1,15,65
Pittsburgh Pirates,2,1,1,-61,66
Arizona Diamondbacks,2,4,-2,-19,66
Cincinnati Reds,4,2,2,39,67
Chicago Cubs,0,4,-4,105,65
Detroit Tigers,4,0,4,92,67
Houston Astros,2,4,-2,23,65
Cleveland Guardians,4,2,2,-20,65
Toronto Blue Jays,3,6,-3,-1,65
Minnesota Twins,6,3,3,38,66
Kansas City Royals,7,5,2,-9,66
Chicago White Sox,5,7,-2,-51,66
Los Angeles Dodgers,7,3,4,74,66
St. Louis Cardinals,3,7,-4,28,65
New York Mets,13,5,8,88,66
Colorado Rockies,5,13,-8,-198,65
Baltimore Orioles,1,5,-4,-89,64
Athletics,5,1,4,-115,67
Atlanta Braves,3,4,-1,3,64
San Francisco Giants,4,3,1,45,66
Seattle Mariners,3,2,1,0,64
Los Angeles Angels,2,3,-1,-55,64
Boston Red Sox,11,7,4,17,67
New York Yankees,7,11,-4,95,64
Cincinnati Reds,7,4,3,42,68
Cleveland Guardians,4,7,-3,-23,66
Miami Marlins,3,10,-7,-91,64
Pittsburgh Pirates,10,3,7,-54,67
Chicago Cubs,3,4,-1,104,66
Philadelphia Phillies,4,3,1,16,66
Tampa Bay Rays,10,8,2,50,66
Boston Red Sox,8,10,-2,15,68
Atlanta Braves,7,1,6,9,65
Milwaukee Brewers,1,7,-6,17,67
Toronto Blue Jays,5,4,1,0,66
St. Louis Cardinals,4,5,-1,27,66
Athletics,4,7,-3,-118,68
Los Angeles Angels,7,4,3,-52,65
Los Angeles Dodgers,8,7,1,75,67
San Diego Padres,7,8,-1,17,65
Seattle Mariners,4,8,-4,-4,65
Arizona Diamondbacks,8,4,4,-15,67
Detroit Tigers,5,3,2,94,68
Baltimore Orioles,3,5,-2,-91,65
Cincinnati Reds,1,0,1,43,69
Cleveland Guardians,0,1,-1,-24,67
Miami Marlins,3,2,1,-90,65
Pittsburgh Pirates,2,3,-1,-55,68
Chicago Cubs,8,4,4,108,67
Philadelphia Phillies,4,8,-4,12,67
Washington Nationals,4,5,-1,-52,66
New York Mets,5,4,1,89,67
Tampa Bay Rays,1,3,-2,48,67
Boston Red Sox,3,1,2,17,69
Texas Rangers,16,4,12,14,67
Minnesota Twins,4,16,-12,26,67
New York Yankees,10,2,8,103,65
Kansas City Royals,2,10,-8,-17,67
Atlanta Braves,1,4,-3,6,66
Milwaukee Brewers,4,1,3,20,68
Toronto Blue Jays,10,9,1,1,67
St. Louis Cardinals,9,10,-1,26,67
Chicago White Sox,4,2,2,-49,67
Houston Astros,2,4,-2,21,66
San Francisco Giants,6,5,1,46,67
Colorado Rockies,5,6,-1,-199,66
Athletics,1,2,-1,-119,69
Los Angeles Angels,2,1,1,-51,66
Los Angeles Dodgers,1,11,-10,65,68
San Diego Padres,11,1,10,27,66
Seattle Mariners,3,10,-7,-11,66
Arizona Diamondbacks,10,3,7,-8,68
Miami Marlins,2,5,-3,-93,66
Pittsburgh Pirates,5,2,3,-52,69
Chicago Cubs,2,7,-5,103,68
Philadelphia Phillies,7,2,5,17,68
Cincinnati Reds,2,11,-9,34,70
Cleveland Guardians,11,2,9,-15,68
Atlanta Braves,6,2,4,10,67
Milwaukee Brewers,2,6,-4,16,69
Toronto Blue Jays,5,2,3,4,68
St. Louis Cardinals,2,5,-3,23,68
Seattle Mariners,2,5,-3,-14,67
Arizona Diamondbacks,5,2,3,-5,69
Athletics,5,6,-1,-120,70
Los Angeles Angels,6,5,1,-50,67
Los Angeles Dodgers,5,2,3,68,69
San Diego Padres,2,5,-3,24,67
Detroit Tigers,1,10,-9,85,69
Baltimore Orioles,10,1,9,-82,66
Washington Nationals,0,5,-5,-57,67
New York Mets,5,0,5,94,68
Tampa Bay Rays,3,4,-1,47,68
Boston Red Sox,4,3,1,18,70
Texas Rangers,2,6,-4,10,68
Minnesota Twins,6,2,4,30,68
New York Yankees,6,3,3,106,66
Kansas City Royals,3,6,-3,-20,68
Chicago White Sox,2,10,-8,-57,68
Houston Astros,10,2,8,29,67
San Francisco Giants,10,7,3,49,68
Colorado Rockies,7,10,-3,-202,67
Washington Nationals,3,4,-1,-58,68
New York Mets,4,3,1,95,69
Texas Rangers,16,3,13,23,69
Minnesota Twins,3,16,-13,17,69
San Francisco Giants,7,8,-1,48,69
Colorado Rockies,8,7,1,-201,68
Detroit Tigers,4,1,3,88,70
Baltimore Orioles,1,4,-3,-85,67
New York Yankees,1,0,1,107,67
Kansas City Royals,0,1,-1,-21,69
St. Louis Cardinals,0,6,-6,17,69
Milwaukee Brewers,6,0,6,22,70
Pittsburgh Pirates,2,3,-1,-53,70
Chicago Cubs,3,2,1,104,69
Chicago White Sox,3,4,-1,-58,69
Houston Astros,4,3,1,30,68
Pittsburgh Pirates,2,1,1,-52,71
Chicago Cubs,1,2,-1,103,70
Toronto Blue Jays,0,8,-8,-4,69
Philadelphia Phillies,8,0,8,25,69
Miami Marlins,11,9,2,-91,67
Washington Nationals,9,11,-2,-60,69
Los Angeles Angels,0,2,-2,-52,68
Baltimore Orioles,2,0,2,-83,68
Cincinnati Reds,5,11,-6,28,71
Detroit Tigers,11,5,6,94,71
Tampa Bay Rays,7,5,2,49,69
New York Mets,5,7,-2,93,70
New York Yankees,1,2,-1,106,68
Boston Red Sox,2,1,1,19,71
