team,score,opp_score,run_diff,rd_running,game_count
Los Angeles Angels,4,3,1,0,10
Tampa Bay Rays,3,4,-1,5,10
Philadelphia Phillies,5,7,-2,14,10
Atlanta Braves,7,5,2,-10,10
Texas Rangers,6,10,-4,-12,12
Chicago Cubs,10,6,4,32,14
Minnesota Twins,1,2,-1,-15,11
Kansas City Royals,2,1,1,3,11
Milwaukee Brewers,7,1,6,-16,11
Colorado Rockies,1,7,-6,-18,10
Baltimore Orioles,3,4,-1,3,12
Arizona Diamondbacks,4,3,1,4,12
Houston Astros,2,1,1,-9,11
Seattle Mariners,1,2,-1,-16,12
Cincinnati Reds,1,0,1,4,12
San Francisco Giants,0,1,-1,16,11
San Diego Padres,4,10,-6,13,12
Athletics,10,4,6,-16,12
St. Louis Cardinals,1,2,-1,-2,12
Pittsburgh Pirates,2,1,1,-19,13
Miami Marlins,5,0,5,-11,12
New York Mets,0,5,-5,13,12
New York Yankees,4,3,1,23,12
Detroit Tigers,3,4,-1,14,12
Texas Rangers,6,2,4,-8,13
Chicago Cubs,2,6,-4,28,15
San Diego Padres,2,1,1,14,13
Athletics,1,2,-1,-17,13
Baltimore Orioles,0,9,-9,-6,13
Arizona Diamondbacks,9,0,9,13,13
Cincinnati Reds,6,8,-2,2,13
San Francisco Giants,8,6,2,18,12
Los Angeles Dodgers,6,5,1,15,14
Washington Nationals,5,6,-1,-5,12
Houston Astros,6,7,-1,-10,12
Seattle Mariners,7,6,1,-15,13
Chicago White Sox,2,3,-1,-7,11
Cleveland Guardians,3,2,1,-15,11
Toronto Blue Jays,2,1,1,4,13
Boston Red Sox,1,2,-1,8,13
Los Angeles Angels,4,5,-1,-1,11
Tampa Bay Rays,5,4,1,6,11
Philadelphia Phillies,4,3,1,15,11
Atlanta Braves,3,4,-1,-11,11
Minnesota Twins,4,0,4,-11,12
Kansas City Royals,0,4,-4,-1,12
Milwaukee Brewers,17,2,15,-1,12
Colorado Rockies,2,17,-15,-33,11
Los Angeles Angels,11,1,10,9,12
Tampa Bay Rays,1,11,-10,-4,12
Chicago White Sox,1,6,-5,-12,12
Cleveland Guardians,6,1,5,-10,12
Minnesota Twins,2,3,-1,-12,13
Kansas City Royals,3,2,1,0,13
Milwaukee Brewers,2,7,-5,-6,13
Colorado Rockies,7,2,5,-28,12
Toronto Blue Jays,3,4,-1,3,14
Boston Red Sox,4,3,1,9,14
Philadelphia Phillies,2,4,-2,13,12
Atlanta Braves,4,2,2,-9,12
Kansas City Royals,0,7,-7,-7,14
Cleveland Guardians,7,0,7,-3,13
Pittsburgh Pirates,3,5,-2,-21,14
Cincinnati Reds,5,3,2,4,14
Atlanta Braves,3,6,-3,-12,13
Tampa Bay Rays,6,3,3,-1,13
San Francisco Giants,9,1,8,26,13
New York Yankees,1,9,-8,15,13
Washington Nationals,7,4,3,-2,13
Miami Marlins,4,7,-3,-14,13
Boston Red Sox,1,11,-10,-1,15
Chicago White Sox,11,1,10,-2,13
Los Angeles Angels,3,14,-11,-2,13
Houston Astros,14,3,11,1,13
Detroit Tigers,7,6,1,15,13
Minnesota Twins,6,7,-1,-13,14
Philadelphia Phillies,0,2,-2,11,13
St. Louis Cardinals,2,0,2,0,13
Colorado Rockies,0,8,-8,-36,13
San Diego Padres,8,0,8,22,14
Texas Rangers,3,5,-2,-10,14
Seattle Mariners,5,3,2,-13,14
Milwaukee Brewers,7,0,7,1,14
Arizona Diamondbacks,0,7,-7,6,14
New York Mets,7,6,1,14,13
Athletics,6,7,-1,-18,14
Chicago Cubs,0,3,-3,25,16
Los Angeles Dodgers,3,0,3,18,15
Detroit Tigers,4,0,4,19,14
Minnesota Twins,0,4,-4,-17,15
Philadelphia Phillies,4,1,3,14,14
St. Louis Cardinals,1,4,-3,-3,14
San Francisco Giants,4,8,-4,22,14
New York Yankees,8,4,4,19,14
New York Mets,1,3,-2,12,14
Athletics,3,1,2,-16,15
Toronto Blue Jays,4,5,-1,2,15
Baltimore Orioles,5,4,1,-5,14
Atlanta Braves,5,4,1,-11,14
Tampa Bay Rays,4,5,-1,-2,14
Boston Red Sox,2,3,-1,-2,16
Chicago White Sox,3,2,1,-1,14
Washington Nationals,6,7,-1,-3,14
Miami Marlins,7,6,1,-13,14
Kansas City Royals,3,6,-3,-10,15
Cleveland Guardians,6,3,3,0,14
Pittsburgh Pirates,2,5,-3,-24,15
Cincinnati Reds,5,2,3,7,15
Los Angeles Angels,4,1,3,1,14
Houston Astros,1,4,-3,-2,14
Milwaukee Brewers,4,5,-1,0,15
Arizona Diamondbacks,5,4,1,7,15
Colorado Rockies,0,2,-2,-38,14
San Diego Padres,2,0,2,24,15
Chicago Cubs,16,0,16,41,17
Los Angeles Dodgers,0,16,-16,2,16
Texas Rangers,2,9,-7,-17,15
Seattle Mariners,9,2,7,-6,15
Toronto Blue Jays,7,6,1,3,16
Baltimore Orioles,6,7,-1,-6,15
San Francisco Giants,5,4,1,23,15
New York Yankees,4,5,-1,18,15
Kansas City Royals,4,2,2,-8,16
Cleveland Guardians,2,4,-2,-2,15
Pittsburgh Pirates,0,4,-4,-28,16
Cincinnati Reds,4,0,4,11,16
Atlanta Braves,3,8,-5,-16,15
Tampa Bay Rays,8,3,5,3,15
Washington Nationals,4,11,-7,-10,15
Miami Marlins,11,4,7,-6,15
Los Angeles Angels,3,7,-4,-3,15
Houston Astros,7,3,4,2,15
Detroit Tigers,1,5,-4,15,15
Minnesota Twins,5,1,4,-13,16
Boston Red Sox,3,1,2,0,17
Chicago White Sox,1,3,-2,-3,15
Philadelphia Phillies,0,7,-7,7,15
St. Louis Cardinals,7,0,7,4,15
New York Mets,8,0,8,20,15
Athletics,0,8,-8,-24,16
Colorado Rockies,0,6,-6,-44,15
San Diego Padres,6,0,6,30,16
Texas Rangers,1,3,-2,-19,16
Seattle Mariners,3,1,2,-4,16
Milwaukee Brewers,2,5,-3,-3,16
Arizona Diamondbacks,5,2,3,10,16
Chicago Cubs,4,2,2,43,18
Los Angeles Dodgers,2,4,-2,0,17
Washington Nationals,3,10,-7,-17,16
Pittsburgh Pirates,10,3,7,-21,17
San Francisco Giants,10,4,6,29,16
Philadelphia Phillies,4,10,-6,1,16
Boston Red Sox,1,16,-15,-15,18
Tampa Bay Rays,16,1,15,18,16
Kansas City Royals,1,4,-3,-11,17
New York Yankees,4,1,3,21,16
Atlanta Braves,8,4,4,-12,16
Toronto Blue Jays,4,8,-4,-1,17
New York Mets,5,1,4,24,16
Minnesota Twins,1,5,-4,-17,17
Detroit Tigers,9,1,8,23,16
Milwaukee Brewers,1,9,-8,-11,17
Houston Astros,3,8,-5,-3,16
St. Louis Cardinals,8,3,5,9,16
Chicago Cubs,4,10,-6,37,19
San Diego Padres,10,4,6,36,17
Colorado Rockies,3,5,-2,-46,16
Los Angeles Dodgers,5,3,2,2,18
Washington Nationals,3,0,3,-14,17
Pittsburgh Pirates,0,3,-3,-24,18
Seattle Mariners,4,8,-4,-8,17
Cincinnati Reds,8,4,4,15,17
Arizona Diamondbacks,10,4,6,16,17
Miami Marlins,4,10,-6,-12,16
San Francisco Giants,4,6,-2,27,17
Philadelphia Phillies,6,4,2,3,17
Cleveland Guardians,6,3,3,1,16
Baltimore Orioles,3,6,-3,-9,16
Boston Red Sox,7,4,3,-12,19
Tampa Bay Rays,4,7,-3,15,17
Kansas City Royals,2,4,-2,-13,18
New York Yankees,4,2,2,23,17
Atlanta Braves,3,6,-3,-15,17
Toronto Blue Jays,6,3,3,2,18
New York Mets,3,6,-3,21,17
Minnesota Twins,6,3,3,-14,18
Athletics,12,3,9,-15,17
Chicago White Sox,3,12,-9,-12,16
Detroit Tigers,0,5,-5,18,17
Milwaukee Brewers,5,0,5,-6,18
Houston Astros,2,0,2,-1,17
St. Louis Cardinals,0,2,-2,7,17
Los Angeles Angels,0,4,-4,-7,16
Texas Rangers,4,0,4,-15,17
Chicago Cubs,2,1,1,38,20
San Diego Padres,1,2,-1,35,18
Colorado Rockies,2,6,-4,-50,17
Los Angeles Dodgers,6,2,4,6,19
Atlanta Braves,1,3,-2,-17,18
Toronto Blue Jays,3,1,2,4,19
New York Mets,3,4,-1,20,18
Minnesota Twins,4,3,1,-13,19
Detroit Tigers,1,5,-4,14,18
Milwaukee Brewers,5,1,4,-2,19
Houston Astros,1,4,-3,-4,18
St. Louis Cardinals,4,1,3,10,18
Chicago Cubs,2,4,-2,36,21
San Diego Padres,4,2,2,37,19
Cleveland Guardians,1,9,-8,-7,17
Baltimore Orioles,9,1,8,-1,17
Washington Nationals,1,6,-5,-19,18
Pittsburgh Pirates,6,1,5,-19,19
Seattle Mariners,5,3,2,-6,18
Cincinnati Reds,3,5,-2,13,18
Arizona Diamondbacks,6,2,4,20,18
Miami Marlins,2,6,-4,-16,17
San Francisco Giants,11,4,7,34,18
Philadelphia Phillies,4,11,-7,-4,18
Boston Red Sox,1,0,1,-11,20
Tampa Bay Rays,0,1,-1,14,18
Kansas City Royals,3,4,-1,-14,19
New York Yankees,4,3,1,24,18
Athletics,3,1,2,-13,18
Chicago White Sox,1,3,-2,-14,17
Los Angeles Angels,1,3,-2,-9,17
Texas Rangers,3,1,2,-13,18
Colorado Rockies,7,8,-1,-51,18
Los Angeles Dodgers,8,7,1,7,20
Arizona Diamondbacks,6,4,2,22,19
Miami Marlins,4,6,-2,-18,18
Washington Nationals,0,1,-1,-20,19
Pittsburgh Pirates,1,0,1,-18,20
Seattle Mariners,11,7,4,-2,19
Cincinnati Reds,7,11,-4,9,19
Athletics,8,0,8,-5,19
Chicago White Sox,0,8,-8,-22,18
San Francisco Giants,4,6,-2,32,19
Philadelphia Phillies,6,4,2,-2,19
Cleveland Guardians,2,6,-4,-11,18
Baltimore Orioles,6,2,4,3,18
Kansas City Royals,1,6,-5,-19,20
Detroit Tigers,6,1,5,19,19
New York Yankees,6,3,3,27,19
Tampa Bay Rays,3,6,-3,11,19
St. Louis Cardinals,1,4,-3,7,19
New York Mets,4,1,3,23,19
Los Angeles Angels,3,5,-2,-11,18
Texas Rangers,5,3,2,-11,19
Arizona Diamondbacks,11,13,-2,20,20
Chicago Cubs,13,11,2,38,22
Kansas City Royals,3,7,-4,-23,21
Detroit Tigers,7,3,4,23,20
Cleveland Guardians,10,7,3,-8,19
Pittsburgh Pirates,7,10,-3,-21,21
Miami Marlins,2,7,-5,-23,19
Philadelphia Phillies,7,2,5,3,20
Cincinnati Reds,8,3,5,14,20
Baltimore Orioles,3,8,-5,-2,19
New York Yankees,1,0,1,28,20
Tampa Bay Rays,0,1,-1,10,20
Seattle Mariners,1,3,-2,-4,20
Toronto Blue Jays,3,1,2,6,20
St. Louis Cardinals,4,5,-1,6,20
New York Mets,5,4,1,24,20
Chicago White Sox,3,10,-7,-29,19
Boston Red Sox,10,3,7,-4,21
Minnesota Twins,4,6,-2,-15,20
Atlanta Braves,6,4,2,-15,19
Los Angeles Dodgers,3,0,3,10,21
Texas Rangers,0,3,-3,-14,20
San Diego Padres,4,6,-2,35,20
Houston Astros,6,4,2,-2,19
Athletics,3,5,-2,-7,20
Milwaukee Brewers,5,3,2,0,20
San Francisco Giants,0,2,-2,30,20
Los Angeles Angels,2,0,2,-9,19
Miami Marlins,10,11,-1,-24,20
Philadelphia Phillies,11,10,1,4,21
Kansas City Royals,1,3,-2,-25,22
Detroit Tigers,3,1,2,25,21
Arizona Diamondbacks,2,6,-4,16,21
Chicago Cubs,6,2,4,42,23
Seattle Mariners,8,4,4,0,21
Toronto Blue Jays,4,8,-4,2,21
Cincinnati Reds,5,9,-4,10,21
Baltimore Orioles,9,5,4,2,20
Cleveland Guardians,3,0,3,-5,20
Pittsburgh Pirates,0,3,-3,-24,22
St. Louis Cardinals,0,3,-3,3,21
New York Mets,3,0,3,27,21
Los Angeles Dodgers,3,4,-1,9,22
Texas Rangers,4,3,1,-13,21
Washington Nationals,12,11,1,-19,20
Colorado Rockies,11,12,-1,-52,19
Chicago White Sox,3,4,-1,-30,20
Boston Red Sox,4,3,1,-3,22
New York Yankees,8,10,-2,26,21
Tampa Bay Rays,10,8,2,12,21
San Diego Padres,2,3,-1,34,21
Houston Astros,3,2,1,-1,20
Athletics,3,1,2,-5,21
Milwaukee Brewers,1,3,-2,-2,21
Minnesota Twins,3,4,-1,-16,21
Atlanta Braves,4,3,1,-14,20
San Francisco Giants,3,2,1,31,21
Los Angeles Angels,2,3,-1,-10,20
Cincinnati Reds,24,2,22,32,22
Baltimore Orioles,2,24,-22,-20,21
Cleveland Guardians,5,4,1,-4,21
Pittsburgh Pirates,4,5,-1,-25,23
Minnesota Twins,2,6,-4,-20,22
Atlanta Braves,6,2,4,-10,21
Chicago White Sox,8,4,4,-26,21
Boston Red Sox,4,8,-4,-7,23
Miami Marlins,7,5,2,-22,21
Philadelphia Phillies,5,7,-2,2,22
Seattle Mariners,8,3,5,5,22
Toronto Blue Jays,3,8,-5,-3,22
Kansas City Royals,4,3,1,-24,23
Detroit Tigers,3,4,-1,24,22
St. Louis Cardinals,4,7,-3,0,22
New York Mets,7,4,3,30,22
New York Yankees,4,0,4,30,22
Tampa Bay Rays,0,4,-4,8,22
Athletics,1,14,-13,-18,22
Milwaukee Brewers,14,1,13,11,22
Arizona Diamondbacks,3,2,1,17,22
Chicago Cubs,2,3,-1,41,24
Los Angeles Dodgers,1,0,1,10,23
Texas Rangers,0,1,-1,-14,22
Washington Nationals,3,2,1,-18,21
Colorado Rockies,2,3,-1,-53,20
Washington Nationals,1,3,-2,-20,22
Colorado Rockies,3,1,2,-51,21
San Francisco Giants,4,5,-1,30,22
Los Angeles Angels,5,4,1,-9,21
San Diego Padres,3,2,1,35,22
Houston Astros,2,3,-1,-2,21
Chicago White Sox,2,4,-2,-28,22
Boston Red Sox,4,2,2,-5,24
New York Yankees,4,6,-2,28,23
Cleveland Guardians,6,4,2,-2,22
San Diego Padres,4,6,-2,33,23
Detroit Tigers,6,4,2,26,23
Cincinnati Reds,3,6,-3,29,23
Miami Marlins,6,3,3,-19,22
Philadelphia Phillies,4,5,-1,1,23
New York Mets,5,4,1,31,23
St. Louis Cardinals,6,7,-1,-1,23
Atlanta Braves,7,6,1,-9,22
Toronto Blue Jays,0,7,-7,-10,23
Houston Astros,7,0,7,5,22
Milwaukee Brewers,2,5,-3,8,23
San Francisco Giants,5,2,3,33,23
New York Yankees,2,3,-1,27,24
Cleveland Guardians,3,2,1,-1,23
San Diego Padres,2,0,2,35,24
Detroit Tigers,0,2,-2,24,24
Cincinnati Reds,3,4,-1,28,24
Miami Marlins,4,3,1,-18,23
Baltimore Orioles,0,7,-7,-27,22
Washington Nationals,7,0,7,-13,23
Seattle Mariners,3,8,-5,0,23
Boston Red Sox,8,3,5,0,25
Philadelphia Phillies,1,5,-4,-3,24
New York Mets,5,1,4,35,24
St. Louis Cardinals,10,4,6,5,24
